date,lake,species,length,weight,basin,diet_count,diet_comp,rel_percent,diet_comp2,month 
7/3/2023,Camp,LMB,321,325,R,1,ephemeroptera,0.009345794,a_invert,7
7/3/2023,Camp,LMB,291,250,R,1,odanata(nymph),0.009345794,a_invert,7
7/3/2023,Camp,LMB,268,180,R,1,odanata(nymph),0.009345794,a_invert,7
7/28/2023,Camp,LMB,242,150,R,1,odanata(nymph),0.009345794,a_invert,7
7/28/2023,Camp,LMB,255,185,R,3,odanata(nymph),0.028037383,a_invert,7
7/28/2023,Camp,LMB,254,265,R,1,odanata(nymph),0.009345794,a_invert,7
7/3/2023,Camp,LMB,231,100,R,2,LMB,0.018691589,fish,7
7/3/2023,Camp,LMB,341,355,R,5,unk_fish,0.046728972,fish,7
7/3/2023,Camp,LMB,291,250,R,10,unk_fish,0.093457944,fish,7
7/3/2023,Camp,LMB,268,180,R,1,unk_fish,0.009345794,fish,7
7/3/2023,Camp,LMB,215,165,R,1,unk_fish,0.009345794,fish,7
7/3/2023,Camp,LMB,231,100,R,4,unk_fish,0.037383178,fish,7
7/3/2023,Camp,LMB,321,325,R,3,unk_fish,0.028037383,fish,7
7/3/2023,Camp,LMB,291,250,R,1,YEP,0.009345794,fish,7
7/21/2023,Camp,LMB,275,245,R,2,unk_fish,0.018691589,fish,7
7/21/2023,Camp,LMB,228,150,R,3,unk_fish,0.028037383,fish,7
7/21/2023,Camp,LMB,265,210,R,1,unk_fish,0.009345794,fish,7
7/21/2023,Camp,LMB,230,120,R,1,unk_fish,0.009345794,fish,7
7/21/2023,Camp,LMB,251,175,R,1,unk_fish,0.009345794,fish,7
7/28/2023,Camp,LMB,254,265,R,2,LMB,0.018691589,fish,7
7/28/2023,Camp,LMB,252,185,R,3,unk_fish,0.028037383,fish,7
7/28/2023,Camp,LMB,310,350,R,4,unk_fish,0.037383178,fish,7
7/28/2023,Camp,LMB,242,150,R,4,unk_fish,0.037383178,fish,7
7/28/2023,Camp,LMB,255,185,R,1,unk_fish,0.009345794,fish,7
7/28/2023,Camp,LMB,235,150,R,2,unk_fish,0.018691589,fish,7
7/28/2023,Camp,LMB,254,265,R,7,unk_fish,0.065420561,fish,7
7/28/2023,Camp,LMB,261,190,R,3,unk_fish,0.028037383,fish,7
7/28/2023,Camp,LMB,243,160,R,5,unk_fish,0.046728972,fish,7
7/28/2023,Camp,LMB,352,395,R,6,unk_fish,0.056074766,fish,7
7/28/2023,Camp,LMB,170,250,R,8,unk_fish,0.074766355,fish,7
7/28/2023,Camp,LMB,230,140,R,1,unk_fish,0.009345794,fish,7
7/28/2023,Camp,LMB,275,250,R,3,unk_fish,0.028037383,fish,7
7/3/2023,Camp,LMB,231,100,R,1,ant,0.009345794,t_invert,7
7/3/2023,Camp,LMB,330,350,R,1,odanata,0.009345794,t_invert,7
7/3/2023,Camp,LMB,231,100,R,1,odanata,0.009345794,t_invert,7
7/3/2023,Camp,LMB,250,155,R,2,odanata,0.018691589,t_invert,7
7/3/2023,Camp,LMB,268,180,R,1,odanata  ,0.009345794,t_invert,7
7/21/2023,Camp,LMB,275,245,R,3,ant,0.028037383,t_invert,7
7/21/2023,Camp,LMB,178,70,R,1,fly,0.009345794,t_invert,7
7/21/2023,Camp,LMB,251,175,R,1,mosquito,0.009345794,t_invert,7
7/21/2023,Camp,LMB,251,175,R,1,odanata,0.009345794,t_invert,7
7/28/2023,Camp,LMB,230,140,R,1,ant,0.009345794,t_invert,7
7/28/2023,Camp,LMB,230,140,R,1,arachnid,0.009345794,t_invert,7
7/28/2023,Camp,LMB,230,140,R,1,amphibian ,0.009345794,t_vert,7
7/3/2023,Camp,LMB,263,185,T,2,LMB,0.035714286,fish,7
7/3/2023,Camp,LMB,312,350,T,1,LMB,0.017857143,fish,7
7/3/2023,Camp,LMB,263,185,T,3,unk_fish,0.053571429,fish,7
7/3/2023,Camp,LMB,218,160,T,23,unk_fish,0.410714286,fish,7
7/3/2023,Camp,LMB,204,200,T,4,unk_fish,0.071428571,fish,7
7/3/2023,Camp,LMB,312,350,T,1,unk_fish,0.017857143,fish,7
7/3/2023,Camp,LMB,350,500,T,4,unk_fish,0.071428571,fish,7
7/14/2023,Camp,LMB,330,425,T,1,LMB,0.017857143,fish,7
7/14/2023,Camp,LMB,330,425,T,1,unk_fish,0.017857143,fish,7
7/19/2023,Camp,LMB,361,460,T,1,LMB,0.017857143,fish,7
7/21/2023,Camp,LMB,275,235,T,2,LMB,0.035714286,fish,7
7/21/2023,Camp,LMB,301,330,T,4,unk_fish,0.071428571,fish,7
7/28/2023,Camp,LMB,189,90,T,1,LMB,0.017857143,fish,7
7/28/2023,Camp,LMB,189,90,T,4,unk_fish,0.071428571,fish,7
7/28/2023,Camp,LMB,189,90,T,1,YEP,0.017857143,fish,7
7/21/2023,Camp,LMB,370,520,T,1,plastic,0.017857143,plastic,7
7/3/2023,Camp,LMB,350,500,T,1,odanata,0.017857143,t_invert,7
7/28/2023,Camp,LMB,352,480,T,1,coleoptera,0.017857143,t_invert,7
